Type,Match,Node,x,y,o,z
Pose,,1,0.011206161,-0.000283226,2.262136699,
Feat,,-1,0.408839538,-0.004578688,,0.127044007
Feat,,-2,0.380306782,-0.155405229,,0.136842193
Pose,,2,0.011451888,-0.000302589,2.2617883,
Feat,-1,-1,0.409820962,-0.0044058,,0.127412317
Feat,-2,-2,0.380314096,-0.15519116,,0.136918377
Pose,,3,-0.279723569,-0.00762136,2.487109507,
Feat,-1,-1,0.514697439,-0.319246508,,0.169411313
Feat,,-3,0.517035632,-0.320358662,,0.1717124
Pose,,4,-0.589462508,-0.011917628,2.586501197,
Feat,-2,-2,0.379997726,-0.749386363,,-0.143532778
Feat,,-4,0.379889883,-0.748257696,,-0.142006258
Feat,-1,-1,0.507817041,-0.628993293,,0.174748206
Feat,-3,-3,0.507534697,-0.627442081,,0.176050009
Pose,,5,0.017195651,0.002798088,2.082428209,
Feat,-2,-2,0.328545528,-0.088127921,,-0.119957292
